CID,nnondet_g,nnondet_r,nnondet_i,nnondet_z
1291623,7,18,19,20
1291715,24,0,1,0
1291826,0,4,28,28
1291912,27,28,27,26
1292013,0,0,0,0
1292220,0,0,0,24
1292315,0,0,0,0
1292386,0,0,0,5
1292508,24,25,24,25
1292669,25,25,0,0
1292800,20,0,0,1
1292922,20,0,0,0
1293026,0,0,0,0
1293133,20,20,19,22
1293213,27,27,27,0
1293278,1,9,14,9
1293370,2,1,16,14
1293513,1,25,25,25
1293835,20,3,2,1
1294014,1,1,2,3
1294305,23,0,24,24
1294519,5,4,14,25
1294659,1,2,0,22
1294719,2,3,3,2
1294844,3,2,4,28
1294993,52,51,52,52
1295265,27,10,27,3
1295334,1,1,2,4
1295440,1,1,3,1
1295555,24,24,2,2
1295748,54,21,46,42
1295876,12,2,18,22
1296088,20,20,19,22
1296250,18,13,24,24
1296400,0,0,0,0
1296565,25,2,4,4
1296782,1,2,5,5
1297028,0,15,30,31
1297164,27,17,27,27
1297276,27,4,27,28
1297377,5,3,3,2
1297449,24,24,3,2
1297580,5,3,3,2
1297722,6,28,27,26
1297873,3,3,1,2
1298120,26,25,25,25
1298422,4,5,7,6
1298686,6,28,27,26
1298863,25,17,11,19
1298961,14,11,16,22
1299119,25,26,27,25
1299190,20,2,3,5
1299339,4,2,3,4
1299504,20,11,25,25
1299653,2,4,6,6
1299728,8,9,3,22
1299797,23,9,9,27
1300087,24,4,4,0
1300221,24,11,12,2
1300439,26,19,24,25
1300547,26,23,21,21
1300706,20,3,19,22
1300836,0,0,0,1
1301041,16,18,3,21
1301431,52,28,27,39
1301710,25,9,6,24
1301922,7,6,6,6
1302127,27,27,28,28
1302415,26,14,19,19
1302709,3,4,5,9
1302887,28,30,28,28
1302968,22,16,13,24
1303118,27,9,9,28
1303220,7,27,12,27
1303379,20,5,9,12
1303524,3,8,28,28
1303617,27,12,27,26
1303734,10,25,25,25
1303854,26,25,25,25
1304217,26,30,1,32
1304463,24,25,24,24
1304630,8,12,23,24
1304735,12,28,27,26
1304821,0,1,1,18
1304934,22,8,25,23
1305084,22,24,9,23
1305233,25,25,27,25
1305338,25,24,27,0
1305492,0,0,0,21
1305642,20,20,19,22
1305777,23,2,0,0
1305891,9,13,26,25
1306051,3,0,4,4
1307028,11,1,2,4
1308410,10,11,10,11
1309224,24,14,10,18
1309373,26,24,21,10
1309505,15,16,16,14
1309709,23,23,14,4
1310073,22,11,12,12
1310227,0,0,5,5
1310341,5,17,23,30
