CID,minmag_g,minmag_r,minmag_i,minmag_z
1246273,21.937114627875484,22.511208163766113,22.459611220121364,22.281167560664766
1246344,22.095532203136194,22.164397810133526,22.00679860468595,21.732008947126467
1246433,22.320202974090485,22.250798397226873,22.223778250408326,22.45982045816494
1246515,24.06125247995154,23.084711791946464,23.050990736520106,23.06910403637201
1246618,24.204789464991837,23.126780300348877,24.40162615248466,24.045498143738243
1246707,23.482274307021047,23.385437662578152,23.47409496115009,23.599994183066585
1246796,23.694085062005477,23.61020927611763,23.312365215800618,23.441230694721227
1246929,23.26068306611034,22.98192372671877,23.151623025373922,22.19963498452972
1246998,23.03056977200508,23.79850962954569,21.90670628956301,21.770246498836332
1247102,23.023688955984667,22.334837756350808,23.119821232271885,20.30582310981866
1247194,21.104488998933707,22.05825288470357,18.956030169042023,21.663212366339106
1247285,22.691695626626412,23.042833482339518,22.050546210407543,21.585812148860207
1247378,23.81953552781049,22.111280344646797,22.468961563093917,22.45783432292756
1247483,23.035056914583325,23.03824285132427,22.482765730130247,23.024410276052926
1247576,20.391575408734937,21.74574342261714,21.538444528871143,21.46428010391326
1247663,23.957650206147395,19.958879204352407,19.859835176420617,20.943299503168546
1247751,22.485762047203725,22.810322023181584,22.60422352408078,22.287398233144515
1247832,22.495990189625505,22.542626778563754,22.653262978443788,22.70883880806653
1247925,22.482017941107397,22.620903492569852,22.088820439305774,22.31891568507903
1248035,22.312228008958748,22.119508544164475,22.258159348843826,22.473296267171392
1248104,24.564632337257425,23.840715346145316,23.670089915129136,23.35795840488958
1248139,23.100811506071338,22.174648235451812,22.290616556074973,21.85664368373706
1248308,22.80498882432994,22.698830744582576,21.91313749842987,21.542033001312753
1248431,23.22181092259681,20.871175033018037,22.430199658985494,22.10018011776004
1248543,22.768650488353412,22.97272251737285,23.0645473030132,22.899828906916802
1248645,22.946986129177986,22.846223712388845,23.051171103356317,22.88102208596268
1248743,22.847464050080184,23.16754883714367,23.05487524204942,22.97692584972863
1248845,23.21862827208842,23.347362287866552,22.678306405509773,22.900331141141148
1248939,23.252227609152268,23.03228794762711,23.29175186940085,21.591581242641283
1249035,21.228978741008348,21.42195256200287,21.599889886694346,21.507410661552264
1249142,22.712622347180297,22.097179186593753,21.759050115571537,22.303857954866768
1249235,22.224115043339996,22.119508544164475,22.312319343234705,22.051264147486375
1249328,23.172842519883766,21.861818737241734,22.41142565453863,22.2533041760589
1249431,22.926869255395005,22.279305310010162,22.71846189520517,22.004870120689137
1249515,22.491671853596685,22.58230066463876,22.53709646201237,22.34787781740298
1249616,23.153801747715534,22.86008212412522,22.76969389702976,22.84508922289192
1249708,23.3720958261587,22.85261988664094,22.351280789313883,22.10063097368932
1249777,22.388062814358893,22.87892675356104,22.24391573579666,20.962836021257157
1249868,23.37425548184241,23.202459434124087,22.189473291409456,20.675205824835484
1249910,21.514089718432178,21.25560320428183,21.12387874275008,20.954905920853168
1249951,23.03601705081544,22.242887089386453,22.30322373667931,21.91162084205647
1250082,21.64138004048192,21.886403414910582,21.92298392882779,21.923366882051944
1250228,21.582122897792303,28.606051555459562,27.776465589893228,21.444264247766093
1250348,23.40138339022415,22.28258856530737,21.782624460531128,22.15843636059767
1250448,22.621073413836385,23.152474187335905,22.670249808428785,22.955921332023713
1250541,22.455330702591237,22.218068697236575,22.282944107252344,21.741307865990294
1250615,23.553831771036382,23.33966484565346,23.417844899749426,23.11732608008799
1250693,23.315214014265027,23.060118733155747,22.502793933790933,22.821782964910838
1250810,23.69561884148309,23.932299528909102,24.291803478474467,24.17482841011403
1250911,24.381478595196075,23.91769697166697,23.62458204872455,23.36301900317205
1250995,23.823716519578337,23.90328820729567,23.717888934698003,23.411642548944467
1251091,23.069324121753546,23.134816357214596,21.24253325311622,23.200201647187427
1251154,23.209970761571366,23.61714400874198,23.8690386969843,23.63837287856621
1251265,24.431375948825394,22.89033033396788,20.11463502792613,21.186254223308325
1251425,23.037031449926594,23.00289017733582,23.072667564368352,22.135843823231134
1251583,22.408327974249758,22.532846824274888,22.55723497237126,22.682395763961672
1251663,24.276640887203413,23.83858985086134,24.724199257899258,24.236191666971862
1251956,23.669962331556164,23.670951496609153,21.77758934775965,22.921461464181146
1252128,21.190406307308773,21.80049055001474,21.125530704271803,21.91592354958884
1252254,22.973612265605503,22.74818118639792,22.261204894192122,23.27524125636021
1252464,22.83947901654833,22.559274107819625,22.59840691722449,22.631513734580356
1252560,23.10508725534641,23.320286802923626,22.86305110158963,22.200870694900324
1252708,21.804717210050413,21.788641192603126,22.304401865475835,21.575059662818934
1252831,23.957816500558007,23.141931350064514,23.187856822551264,22.699809138051968
1252955,21.405702846659402,21.488214968327753,21.504932852790784,21.67447303857118
1253031,22.87635932773096,21.771522367303984,22.367111742595302,22.863976779111585
1253191,23.145919673021414,23.232139529143886,23.223670024213042,23.272053056645113
1253352,23.185282146714567,22.6511269926764,22.34759471726542,22.561604322642914
1253442,21.376921292193767,21.67295133376041,21.839845323205303,21.599179279819868
1253577,22.497614003983855,22.707510448896798,22.3531759481207,22.957210903279318
1253716,23.27655024116409,24.40131334133704,24.801956410633583,24.59635538257062
1253857,24.751920962297795,24.298212701272483,23.580728847178626,23.788894480893983
1253957,22.70895725560558,23.446176519825382,22.68235723421316,23.06807756072507
1254028,22.00376966580739,23.116195553869268,21.583942606935068,22.10236099121628
1254120,23.66483949901865,24.16880285619159,24.691024168483317,23.069617638343594
1254263,22.73892798633574,23.322507832819944,22.839197039908484,21.67721749329545
1254351,24.08328902705264,23.639922956216225,24.30094669378986,22.99891188704568
1254512,24.33754246920885,22.762203639912137,24.126903343279682,24.479972127767912
1254669,22.820877965736408,23.11435856584457,22.55145915901093,23.029225469732374
1254771,23.363548008929744,22.52718783696602,21.457483937203,22.6941596730603
1254932,23.090288721177245,23.70839718680792,22.825395872391695,21.983609889752426
1255097,23.200988232590944,22.989583243204503,22.676797621413172,22.082667262822113
1255271,22.632470081959287,22.80191613296563,22.46306881481734,22.49577386441962
1255397,23.442290466601133,23.48514900771457,23.37122347635122,20.642539457298266
1255501,23.50184838318438,23.12247622165627,22.806859667216035,21.725392488209824
1255608,21.942883800064624,22.200046731739615,21.634753541572522,21.7308855779577
1255718,23.990826301611797,24.80123288793808,24.274579450300575,23.775666140543976
1255865,23.085083938035716,23.0662835601809,23.132811483365487,22.984448282042088
1255985,23.5500839525873,23.68376411282202,23.143835272813998,23.645209835212384
1256093,23.336563545634583,23.39916914988055,21.975274578296855,21.008424803087543
1256178,23.36366827346589,22.71872747326157,22.273561361944495,21.82010571866444
1256266,22.85599038576339,23.215056284371638,22.50619548191431,22.511932426876797
1256419,21.61554591367796,21.647700516499594,21.786331773849856,21.562213288269437
1256617,24.307008760510108,23.756397262307573,23.13909149113683,22.994502887036642
1256800,24.337955442476158,24.427780579951445,24.482261148951956,24.7209197207285
1256985,21.726669950310043,22.459192864965523,22.587207504288514,22.236480035477058
1257184,23.046581082971837,22.15487513948778,21.62607774372831,22.07251324490925
1257366,21.45130848893165,21.177226520596598,21.26034162379489,21.633677489745338
1257533,20.97764246808896,20.779350995338724,21.82033792445151,21.46428010391326
1257750,22.079714282951173,22.550344066185325,21.966139203655835,22.47382607550902
1257911,22.01475528605262,22.250539508491055,22.381131417303415,22.19766076859717
1258090,22.391889114978788,22.066451539795494,22.219325578956823,22.219157910636707
1258231,23.493710596758554,22.79290629627954,23.025466730935516,22.990418693807257
1258406,23.11636793095175,23.58987430307993,23.489137815932,23.26528708736621
1258503,20.90567543505089,23.128599700065955,22.721306957234745,22.176339225544055
1258908,22.734418368436764,22.234437737758004,21.906203488417233,21.87914710832701
1259106,22.842823794012645,23.02024729997607,22.783209314708806,22.74484311905197
1259316,22.72672517341708,22.53988625787141,23.084023657771713,22.887394503593967
1259537,24.056506683075284,24.255981669044402,24.19440006267212,23.89027863305657
1259651,22.454497443759273,22.923079372175163,21.825867458447576,22.054572786377996
1259869,24.07256137660257,24.30660738988246,24.487192176990863,24.348688660394437
1260038,23.987915708450153,23.001769270424703,22.169911404181253,22.308398890824144
1260210,22.964530892577052,22.71807692237564,22.59729007569939,22.542920413080076
1260326,23.92416724154992,23.179927613948703,23.697318317542653,23.68205345299009
1260459,22.801156480934296,23.5644297417996,23.513493840274002,23.706515351429758
1260677,21.7068793288867,22.0125353914353,22.134679910804405,22.458774670947932
1260961,23.373527027949567,23.636082817314964,22.90824050227567,22.95314898528229
1261139,22.839701681425705,23.134407295963044,22.671635057161673,22.878295864940124
1261259,23.65933006463535,22.696785491031907,22.681497092565188,22.60064405270866
1261503,22.01475528605262,21.69533104842303,21.81241301859651,21.880925948302217
