CID,firstdetday_g,firstdetday_r,firstdetday_i,firstdetday_z
1246273,29.218000000000757,29.22099999999773,29.222999999998137,29.224999999998545
1246344,29.218000000000757,29.22099999999773,29.222999999998137,29.224999999998545
1246433,14.292999999997846,14.302000000003318,14.317999999999302,14.340999999993073
1246515,31.207000000002154,33.2609999999986,32.379000000000815,32.29099999999744
1246618,0.0,0.0,32.379000000000815,32.29099999999744
1246707,31.207000000002154,33.2609999999986,32.379000000000815,0.0
1246796,31.207000000002154,40.20999999999913,38.38500000000204,38.3379999999961
1246929,0.0,15.237999999997555,0.0,15.229000000006636
1246998,0.0,0.0,0.0,0.0
1247102,0.0,0.0,0.0,0.0
1247194,15.222000000001572,15.224999999998545,15.239999999997963,15.242999999994936
1247285,15.217000000004191,19.24099999999453,19.242999999994936,19.24500000000262
1247378,0.0,29.205999999998312,29.20799999999872,29.210999999995693
1247483,0.0,29.205999999998312,29.20799999999872,29.210999999995693
1247576,14.410000000003492,14.4120000000039,14.414000000004307,14.419999999998254
1247663,0.0,180.17400000000634,62.20999999999913,31.233000000000175
1247751,0.0,38.23599999999715,31.230999999999767,31.233000000000175
1247832,31.192000000002736,31.19499999999971,38.21400000000722,42.20599999999831
1247925,24.247999999999593,30.233000000000175,24.252999999996973,24.25499999999738
1248035,31.192000000002736,31.19499999999971,58.15900000000693,130.0749999999971
1248104,62.249000000003434,40.20999999999913,42.36200000000099,42.30000000000291
1248139,29.233000000000175,29.235000000000582,32.224999999998545,32.22699999999895
1248308,0.0,42.2699999999968,33.37000000000262,29.224999999998545
1248431,0.0,0.0,29.222999999998137,33.27799999999843
1248543,38.24700000000303,33.39800000000105,33.33999999999651,43.266999999999825
1248645,25.389999999999418,91.2300000000032,91.28900000000431,91.24199999999837
1248743,28.385000000002037,14.39900000000489,22.28299999999581,15.312000000005355
1248845,44.37700000000041,44.3859999999986,52.387000000002445,33.294999999998254
1248939,29.15400000000227,15.224999999998545,15.226999999998952,33.167999999997846
1249035,15.222000000001572,15.224999999998545,15.226999999998952,15.229000000006636
1249142,33.16099999999278,33.163000000000466,38.09599999999773,42.0879999999961
1249235,22.22200000000157,22.22400000000198,22.22599999999511,22.229000000006636
1249328,29.28299999999581,29.285999999992782,29.288000000000466,29.290000000000873
1249431,0.0,0.0,0.0,0.0
1249515,29.28299999999581,29.285999999992782,29.288000000000466,29.290000000000873
1249616,38.324000000000524,42.21499999999651,70.14099999999598,70.14299999999639
1249708,0.0,38.312000000005355,38.31400000000576,38.317000000002736
1249777,17.289000000004307,42.3949999999968,41.358000000000175,90.20500000000175
1249868,62.20599999999831,38.23599999999715,38.237999999997555,62.2129999999961
1249910,28.385000000002037,100.14900000000489,28.260999999998603,80.30500000000029
1249951,0.0,0.0,29.159000000006927,29.160999999992782
1250082,14.335999999995693,14.3379999999961,14.339999999996508,24.3070000000007
1250228,58.244000000006054,0.0,0.0,32.22699999999895
1250348,0.0,0.0,0.0,0.0
1250448,0.0,0.0,0.0,0.0
1250541,24.247999999999593,24.250999999996566,24.252999999996973,24.25499999999738
1250615,38.22299999999814,40.20999999999913,38.38500000000204,38.3379999999961
1250693,38.22299999999814,54.299000000006345,59.26799999999639,53.262000000002445
1250810,0.0,40.25,74.31200000000536,0.0
1250911,0.0,40.20999999999913,32.379000000000815,38.3379999999961
1250995,0.0,0.0,0.0,0.0
1251091,38.234000000004016,0.0,0.0,0.0
1251154,55.1929999999993,91.2300000000032,142.18299999999726,0.0
1251265,0.0,70.17199999999866,14.339999999996508,25.29699999999866
1251425,29.28299999999581,0.0,0.0,0.0
1251583,13.370999999999185,13.352999999995518,13.32900000000518,24.336999999999534
1251663,0.0,0.0,151.06099999999424,0.0
1251956,0.0,0.0,0.0,0.0
1252128,28.288000000000466,28.29099999999744,28.292999999997846,32.39400000000023
1252254,0.0,0.0,158.125,0.0
1252464,44.1929999999993,44.19499999999971,44.197000000000116,143.06299999999464
1252560,42.26799999999639,42.2699999999968,0.0,0.0
1252708,14.335999999995693,25.29200000000128,101.10900000000402,80.27700000000186
1252831,0.0,97.0659999999989,97.0679999999993,97.06999999999971
1252955,58.177999999999884,58.18099999999686,58.182999999997264,58.18499999999767
1253031,0.0,0.0,0.0,97.12599999999657
1253191,70.20500000000175,63.25499999999738,74.31200000000536,120.23400000000402
1253352,143.0699999999997,0.0,98.1929999999993,0.0
1253442,14.410000000003492,14.4120000000039,14.414000000004307,14.419999999998254
1253577,20.334999999999127,98.06700000000274,0.0,143.06299999999464
1253716,58.167999999997846,59.30999999999767,63.2190000000046,0.0
1253857,0.0,63.27200000000448,59.26799999999639,0.0
1253957,0.0,0.0,0.0,0.0
1254028,0.0,0.0,0.0,52.369000000006054
1254120,0.0,0.0,63.19400000000314,0.0
1254263,0.0,0.0,0.0,0.0
1254351,62.249000000003434,63.27200000000448,0.0,122.07299999999668
1254512,70.20500000000175,71.17400000000634,71.15000000000146,0.0
1254669,0.0,0.0,109.07800000000134,0.0
1254771,53.19400000000314,32.3859999999986,53.199000000000524,42.3550000000032
1254932,0.0,0.0,132.04099999999744,0.0
1255097,0.0,0.0,0.0,0.0
1255271,48.26000000000204,70.26699999999983,70.26900000000023,0.0
1255397,38.29599999999482,29.285999999992782,70.15400000000227,0.0
1255501,0.0,70.13900000000285,0.0,97.06999999999971
1255608,74.14800000000105,86.22000000000116,86.22200000000157,86.22699999999895
1255718,0.0,0.0,0.0,0.0
1255865,0.0,164.0809999999983,131.10400000000664,58.33900000000722
1255985,0.0,74.33599999999569,0.0,0.0
1256093,0.0,0.0,0.0,22.229000000006636
1256178,0.0,0.0,0.0,0.0
1256266,0.0,0.0,0.0,0.0
1256419,85.32499999999709,85.33000000000175,85.33200000000215,85.33400000000256
1256617,0.0,0.0,0.0,0.0
1256800,122.06400000000576,122.16099999999278,0.0,0.0
1256985,0.0,121.16999999999825,0.0,121.17500000000291
1257184,141.07099999999627,89.10199999999895,151.04699999999866,103.19000000000233
1257366,97.11900000000605,97.12099999999919,97.12299999999959,97.12599999999657
1257533,90.09599999999773,97.30000000000291,140.15000000000146,97.15400000000227
1257750,70.02799999999843,89.02799999999843,97.0309999999954,97.03400000000693
1257911,20.320999999996275,20.322999999996682,20.32499999999709,33.322000000000116
1258090,97.07700000000477,97.08000000000175,104.07299999999668,97.08400000000256
1258231,0.0,0.0,97.0679999999993,113.03800000000047
1258406,0.0,0.0,0.0,0.0
1258503,53.30000000000291,0.0,105.11599999999453,86.09999999999854
1258908,15.217000000004191,15.219000000004598,19.242999999994936,19.24500000000262
1259106,112.04299999999785,110.25400000000081,106.2870000000039,106.22299999999814
1259316,0.0,0.0,0.0,104.04699999999866
1259537,13.370999999999185,0.0,0.0,0.0
1259651,112.04299999999785,120.19799999999668,0.0,0.0
1259869,120.22400000000198,122.1449999999968,0.0,0.0
1260038,0.0,0.0,0.0,122.04400000000169
1260210,112.03299999999581,122.16099999999278,122.12000000000262,122.07299999999668
1260326,0.0,122.16099999999278,122.12000000000262,122.07299999999668
1260459,0.0,122.16099999999278,122.12000000000262,122.07299999999668
1260677,79.33699999999953,169.11499999999796,181.1490000000049,0.0
1260961,0.0,0.0,0.0,0.0
1261139,0.0,130.12999999999738,0.0,140.08499999999913
1261259,130.25800000000163,122.1449999999968,131.12799999999697,131.05599999999686
1261503,130.0679999999993,130.0699999999997,130.07200000000012,140.09900000000198
1261915,0.0,0.0,0.0,0.0
1262132,0.0,0.0,0.0,0.0
1262264,81.00599999999395,52.057999999997264,0.0,52.062999999994645
1262515,0.0,0.0,140.05400000000373,122.04400000000169
1262709,70.20500000000175,0.0,0.0,0.0
1262814,0.0,0.0,0.0,0.0
1263108,0.0,0.0,0.0,0.0
1263318,144.05099999999948,144.05299999999988,144.0550000000003,0.0
1263577,0.0,145.05099999999948,0.0,0.0
1263787,148.06200000000536,150.0500000000029,151.06099999999424,0.0
1263901,0.0,155.09099999999307,0.0,177.0879999999961
1264083,0.0,155.06299999999464,155.06500000000233,164.05099999999948
1264539,0.0,150.0500000000029,151.06099999999424,155.13999999999942
1264727,0.0,0.0,0.0,162.1229999999996
1265135,0.0,15.369000000006054,79.34999999999854,170.12799999999697
1265353,0.0,171.11799999999494,178.0859999999957,172.05999999999767
1265521,171.07099999999627,171.11799999999494,164.05799999999726,0.0
1265818,178.06700000000274,178.10900000000402,177.1559999999954,0.0
1266041,0.0,0.0,0.0,0.0
1266303,145.07400000000052,145.08499999999913,150.0859999999957,150.11699999999837
1266512,28.20300000000134,28.205000000001746,22.2129999999961,0.0
1266734,0.0,0.0,0.0,0.0
1266965,176.12099999999919,180.17400000000634,187.04900000000634,187.05200000000332
1267220,0.0,189.0550000000003,192.08900000000722,190.04599999999482
1267450,164.16099999999278,0.0,0.0,0.0
1267800,42.391999999999825,76.25900000000547,121.17199999999866,121.17500000000291
1272954,29.15400000000227,15.224999999998545,15.226999999998952,0.0
1273034,70.00599999999395,115.04599999999482,127.05799999999726,0.0
1273153,94.07800000000134,32.33299999999872,0.0,0.0
1273239,22.20799999999872,28.205000000001746,0.0,0.0
1273313,53.05200000000332,15.224999999998545,15.226999999998952,0.0
1273430,130.1070000000036,130.11000000000058,120.21400000000722,0.0
1273654,0.0,0.0,24.391999999999825,0.0
1273795,23.35099999999511,53.197000000000116,91.33000000000175,0.0
1274014,58.154999999998836,38.211999999999534,0.0,0.0
1274152,0.0,0.0,0.0,0.0
1274248,0.0,0.0,54.19499999999971,0.0
1274339,29.15400000000227,0.0,0.0,0.0
1274518,13.372999999999593,13.405999999995402,0.0,0.0
1274647,38.234000000004016,0.0,0.0,0.0
1274740,0.0,0.0,0.0,0.0
1274859,32.312999999994645,32.31500000000233,32.317000000002736,52.369000000006054
1275109,116.04200000000128,32.27900000000227,25.294000000001688,24.3070000000007
1275316,70.1909999999989,155.09099999999307,0.0,0.0
1275422,31.192000000002736,0.0,86.09500000000116,0.0
1275471,24.247999999999593,52.29400000000169,143.06700000000274,0.0
1275523,127.04499999999825,52.29400000000169,30.235000000000582,0.0
1275692,32.211999999999534,13.224000000001979,13.22599999999511,22.214999999996508
1275915,22.39900000000489,32.31500000000233,0.0,0.0
1276336,0.0,0.0,0.0,0.0
1276684,26.377999999996973,94.08099999999831,0.0,0.0
1276943,24.247999999999593,0.0,86.09500000000116,0.0
1277257,0.0,0.0,53.05599999999686,0.0
1277621,0.0,0.0,62.14800000000105,0.0
1278429,86.27099999999336,105.1929999999993,0.0,0.0
1278929,0.0,0.0,58.15900000000693,0.0
1279196,155.08900000000722,155.09099999999307,0.0,0.0
1279946,25.290000000000873,0.0,0.0,0.0
1280123,155.08900000000722,0.0,177.0859999999957,0.0
1280491,0.0,0.0,140.05400000000373,0.0
1280682,97.06299999999464,0.0,0.0,0.0
1280938,143.05599999999686,0.0,0.0,0.0
1281321,0.0,0.0,0.0,0.0
1281952,144.05099999999948,15.237999999997555,0.0,0.0
1282383,0.0,0.0,0.0,0.0
1282626,0.0,97.02900000000227,0.0,0.0
1283111,20.334999999999127,20.336999999999534,91.08400000000256,143.06299999999464
1283707,0.0,0.0,110.0570000000007,0.0
1284074,73.19999999999709,0.0,0.0,0.0
1284506,32.312999999994645,32.31500000000233,52.3640000000014,119.0570000000007
1284845,0.0,0.0,32.26799999999639,0.0
1285466,0.0,0.0,91.31700000000274,0.0
1286082,144.14599999999336,144.14800000000105,0.0,0.0
1286395,0.0,145.05099999999948,145.05299999999988,0.0
1286900,139.112000000001,139.1140000000014,139.11599999999453,0.0
1287301,155.11599999999453,155.11900000000605,0.0,0.0
1287730,17.389999999999418,17.39299999999639,17.3949999999968,17.397000000004482
1287959,177.09500000000116,177.09799999999814,185.04000000000087,185.04200000000128
1288124,131.0370000000039,45.1929999999993,79.10299999999552,0.0
1288352,41.294999999998254,30.233000000000175,0.0,0.0
1288610,15.222000000001572,0.0,0.0,0.0
1288744,0.0,79.25900000000547,25.302000000003318,0.0
1288794,29.233000000000175,29.235000000000582,32.224999999998545,0.0
1288911,0.0,0.0,0.0,0.0
1289060,49.245999999999185,74.2699999999968,55.29599999999482,171.04799999999523
1289159,0.0,33.39900000000489,0.0,0.0
1307205,0.0,0.0,151.05099999999948,151.05400000000373
1307683,0.0,0.0,0.0,142.04699999999866
1308200,0.0,0.0,0.0,0.0
1312562,73.00499999999738,0.0,0.0,0.0
1313577,170.09999999999854,0.0,0.0,0.0
1313978,0.0,0.0,0.0,0.0
1315010,0.0,0.0,0.0,145.05599999999686
1316121,0.0,0.0,0.0,0.0
1289963,15.209000000002561,15.211999999999534,7.182999999997264,15.217000000004191
1290029,15.289000000004307,15.369000000006054,15.345000000001164,15.299000000006345
1290100,15.209000000002561,20.220000000001164,0.0,0.0
1290217,15.209000000002561,15.211999999999534,15.214000000007218,15.217000000004191
1290358,25.389999999999418,0.0,26.30500000000029,44.25499999999738
1290489,0.0,50.3070000000007,15.345000000001164,15.299000000006345
1290715,17.210999999995693,17.2129999999961,0.0,0.0
1290791,17.389999999999418,17.39299999999639,17.3949999999968,42.35099999999511
1290877,54.140999999995984,42.08499999999913,87.01000000000204,15.217000000004191
1290991,21.391999999999825,0.0,0.0,0.0
1291086,17.210999999995693,0.0,0.0,0.0
1291201,17.26799999999639,17.2699999999968,17.272000000004482,163.04699999999866
1291286,50.195999999996275,0.0,0.0,0.0
1291356,18.2809999999954,42.304000000003725,50.22099999999773,50.24500000000262
1291438,21.4059999999954,54.1820000000007,34.224999999998545,54.187000000005355
1291521,17.210999999995693,17.2129999999961,0.0,0.0
1291623,60.12700000000041,132.05200000000332,147.07800000000134,141.06299999999464
1291715,0.0,17.2699999999968,21.410999999992782,21.414000000004307
1291826,20.400000000001455,50.29400000000169,0.0,0.0
1291912,0.0,0.0,0.0,0.0
1292013,20.385999999998603,33.39900000000489,20.389999999999418,20.39299999999639
1292220,20.32800000000134,20.330999999998312,20.33299999999872,0.0
1292315,20.32800000000134,20.330999999998312,20.33299999999872,20.334999999999127
1292386,20.32800000000134,20.330999999998312,20.33299999999872,62.224999999998545
1292508,0.0,0.0,0.0,0.0
1292669,0.0,0.0,20.26299999999901,20.264999999999418
1292800,0.0,20.36599999999453,20.34200000000419,34.234000000004016
1292922,0.0,20.36599999999453,20.34200000000419,20.2809999999954
1293026,16.41700000000128,16.40299999999843,17.285999999992782,16.385000000002037
1293133,0.0,0.0,0.0,0.0
1293213,0.0,0.0,0.0,17.397000000004482
1293278,21.4059999999954,73.24700000000303,110.06999999999971,73.25200000000041
1293370,0.0,21.409000000006927,0.0,0.0
1293513,21.377000000000407,0.0,0.0,0.0
1293835,0.0,50.205000000001746,50.22099999999773,50.24500000000262
1294014,45.27799999999843,45.279999999998836,45.28299999999581,45.28500000000349
1294305,0.0,20.330999999998312,0.0,0.0
1294519,54.16599999999744,54.16900000000169,110.05599999999686,0.0
1294659,33.23700000000099,54.1929999999993,20.34200000000419,0.0
1294719,34.294999999998254,42.34599999999773,42.34799999999814,42.35099999999511
1294844,50.29099999999744,34.28400000000693,50.29599999999482,0.0
1294993,0.0,0.0,0.0,0.0
1295265,0.0,96.3550000000032,0.0,42.35099999999511
1295334,33.23700000000099,45.20400000000518,45.23200000000361,54.233000000000175
1295440,33.23700000000099,45.20400000000518,54.20900000000256,34.234000000004016
1295555,0.0,0.0,42.31999999999971,50.24500000000262
1295748,0.0,86.01000000000204,0.0,0.0
1295876,86.15099999999802,25.29200000000128,0.0,0.0
1296088,0.0,0.0,0.0,0.0
1296250,141.07099999999627,110.18099999999686,0.0,0.0
1296400,14.410000000003492,14.4120000000039,14.414000000004307,14.419999999998254
1296565,0.0,45.1929999999993,53.292999999997846,54.17299999999523
1296782,33.23700000000099,54.1929999999993,117.10900000000402,61.27900000000227
1297028,23.364000000001397,80.15000000000146,0.0,0.0
1297164,0.0,138.11299999999756,0.0,0.0
1297276,0.0,50.29400000000169,0.0,0.0
1297377,55.187999999994645,50.205000000001746,50.22099999999773,50.24500000000262
1297449,0.0,0.0,50.22099999999773,50.24500000000262
1297580,55.187999999994645,50.205000000001746,50.22099999999773,50.24500000000262
1297722,50.06099999999424,0.0,0.0,0.0
1297873,62.16099999999278,55.30599999999686,42.31999999999971,50.24500000000262
1298120,0.0,0.0,0.0,0.0
1298422,53.31500000000233,57.28299999999581,73.20599999999831,73.20900000000256
1298686,50.06099999999424,0.0,0.0,0.0
1298863,0.0,131.0390000000043,86.08499999999913,144.04900000000634
1298961,0.0,0.0,0.0,0.0
1299119,0.0,0.0,0.0,0.0
1299190,0.0,54.1929999999993,54.20900000000256,61.27900000000227
1299339,55.179000000003725,54.1929999999993,54.20900000000256,54.233000000000175
1299504,141.05599999999686,86.01000000000204,0.0,0.0
1299653,32.330000000001746,42.31099999999424,52.349999999998545,52.35599999999977
1299728,86.21700000000419,103.09599999999773,54.20900000000256,0.0
1299797,0.0,91.35900000000402,91.36099999999715,0.0
1300087,0.0,53.3179999999993,53.31999999999971,33.38999999999942
1300221,0.0,103.15200000000186,103.24400000000605,50.24500000000262
1300439,0.0,141.05799999999726,0.0,0.0
1300547,0.0,0.0,0.0,0.0
1300706,0.0,61.174000000006345,0.0,0.0
1300836,0.0,0.0,0.0,0.0
1301041,0.0,0.0,50.22099999999773,0.0
1301431,0.0,0.0,0.0,0.0
1301710,0.0,79.10099999999511,79.10299999999552,0.0
1301922,79.32299999999668,73.23200000000361,73.23400000000402,73.23700000000099
1302127,0.0,0.0,0.0,0.0
1302415,0.0,110.04000000000087,0.0,0.0
1302709,57.29400000000169,57.29599999999482,57.29799999999523,86.14800000000105
1302887,0.0,0.0,0.0,0.0
1302968,0.0,0.0,0.0,0.0
1303118,0.0,73.24700000000303,73.24900000000343,0.0
1303220,79.32299999999668,0.0,110.32099999999627,0.0
1303379,0.0,73.25800000000163,103.04900000000634,103.19700000000012
1303524,50.29099999999744,79.33900000000722,0.0,0.0
1303617,0.0,83.03299999999581,0.0,0.0
1303734,79.02700000000186,0.0,0.0,0.0
1303854,0.0,0.0,0.0,0.0
1304217,0.0,0.0,24.38799999999901,0.0
1304463,0.0,0.0,0.0,0.0
1304630,82.11799999999494,103.18499999999767,0.0,0.0
1304735,83.0309999999954,0.0,0.0,0.0
1304821,15.217000000004191,19.24099999999453,19.242999999994936,115.125
1304934,0.0,86.14299999999639,0.0,0.0
1305084,0.0,0.0,86.1449999999968,0.0
1305233,0.0,0.0,0.0,0.0
1305338,0.0,0.0,0.0,20.264999999999418
1305492,0.0,0.0,20.34200000000419,0.0
1305642,0.0,0.0,0.0,0.0
1305777,0.0,57.23700000000099,0.0,0.0
1305891,86.08000000000175,110.05400000000373,0.0,0.0
1306051,36.33900000000722,22.40099999999802,52.3640000000014,100.23500000000058
1307028,93.25499999999738,103.15200000000186,103.24400000000605,91.30999999999767
1308410,96.35299999999552,103.31700000000274,96.35700000000361,103.32200000000012
1309224,0.0,131.1840000000011,110.23300000000017,170.12799999999697
1309373,0.0,0.0,0.0,103.17500000000291
1309505,103.1140000000014,110.02599999999802,117.03299999999581,110.0309999999954
1309709,0.0,0.0,105.04400000000169,32.13400000000547
1310073,0.0,103.13099999999395,103.13300000000163,103.1359999999986
1310227,20.300999999999476,20.302999999999884,44.23099999999977,44.233000000000175
1310341,52.29200000000128,108.0370000000039,149.0590000000011,0.0
1310492,0.0,0.0,103.07700000000477,103.08000000000175
1310929,0.0,141.08699999999953,162.1490000000049,0.0
1311021,132.0370000000039,0.0,0.0,0.0
1311148,0.0,0.0,0.0,0.0
1311306,110.19200000000274,0.0,0.0,0.0
1311442,0.0,0.0,0.0,0.0
1311543,86.08000000000175,0.0,0.0,0.0
1311648,0.0,0.0,0.0,0.0
1311731,0.0,110.0679999999993,0.0,0.0
1311910,0.0,110.0879999999961,110.10400000000664,110.12799999999697
1312308,0.0,0.0,0.0,0.0
1312578,0.0,0.0,110.10400000000664,0.0
1312924,155.1840000000011,0.0,119.05200000000332,0.0
1313135,141.04200000000128,0.0,0.0,0.0
1313334,15.203000000001339,19.215999999993073,19.218000000000757,19.22099999999773
1313555,0.0,0.0,0.0,0.0
1313923,0.0,144.05799999999726,0.0,0.0
1314212,23.364000000001397,28.277000000001863,33.36000000000058,53.21499999999651
1314947,79.28199999999924,48.207000000002154,105.22599999999511,141.17799999999988
1315275,0.0,0.0,0.0,163.1070000000036
1315832,0.0,117.30599999999686,141.08900000000722,141.0920000000042
1316330,0.0,0.0,0.0,0.0
1316626,0.0,135.25,138.04000000000087,138.06400000000576
1317086,0.0,0.0,0.0,0.0
1317492,135.0859999999957,131.05999999999767,131.07599999999366,0.0
1317744,0.0,0.0,0.0,0.0
1318245,0.0,0.0,0.0,0.0
1318690,134.0370000000039,141.08699999999953,141.08900000000722,141.0920000000042
1319248,0.0,0.0,0.0,0.0
1319755,0.0,138.11299999999756,0.0,0.0
1319964,0.0,131.1840000000011,138.04000000000087,138.06400000000576
1320188,0.0,141.05799999999726,141.05999999999767,141.06299999999464
1320342,0.0,0.0,0.0,0.0
