CID	FLAG
1247081 4
1247103 0
1248385 1
1249230 1
1249233 1
1249245 1
1249251 1
1249392 5
1246395 1
1246396 5
1246477 1
1246480 5
1246654 5
1247206 1
1247208 5
1247213 4
1247472 1
1247474 1
1248322 0
1248458 7
1249012 1
1249016 1
1249334 1
1249339 3
1249368 5
1249408 1
1249415 1
1249417 1
1249420 0
1249423 0
1249431 1
1249438 5
1249440 1
1249443 1
1249444 1
1249483 1
1247470 5
1246397 1
1247613 1
1247615 1
1247936 1
1248082 1
1248086 0
1248087 1
1248088 1
1248137 5
1248138 5
1248139 1
1248472 1
1249346 1
1249348 1
1249350 1
1249520 3
1249564 1
1249576 1
1249581 0
1249595 1
1249675 0
1249768 1
1246337 1
1246285 1
1246286 5
1246444 1
1246447 1
1246451 1
1246713 5
1246714 5
1246716 5
1246717 1
1246758 1
1246764 1
1246765 1
1246778 5
1247147 0
1247155 5
1247438 5
1247576 1
1248129 5
1248130 1
1248408 1
1248410 0
1248454 1
1248464 1
1249250 1
1249261 5
1249280 1
1247342 1
1247796 0
1247797 1
1247798 1
1247804 1
1248091 5
1248092 1
1249793 1
1249826 1
1249849 1
1249852 0
1249853 1
1249855 1
1249934 1
1249936 0
1249965 5
1249984 5
1249987 5
1249996 1
1249998 1
1250054 5
1248118 1
1248119 1
1247332 1
1247333 1
1248120 1
1248846 0
1248847 0
1249657 5
1249829 1
1249882 1
1250034 1
1250119 1
1250123 5
1250139 1
1250271 1
1250272 1
1250274 1
1250275 1
1250281 1
1250283 1
1250285 1
1250288 1
1250291 1
1250357 1
1250419 0
1250454 1
1246291 1
1246494 1
1246497 1
1246498 5
1246499 5
1246500 5
1246502 1
1247107 0
1247492 1
1247724 1
1247730 1
1247748 1
1247832 1
1248243 1
1248534 1
1248536 1
1248707 1
1248925 1
1249023 1
1249025 0
1249030 1
1249032 5
1249391 0
1249396 1
1249463 1
1246281 1
1247159 1
1247162 5
1246279 1
1247170 1
1247171 1
1247172 5
1247443 5
1247462 1
1247602 1
1247671 0
1247672 1
1247880 1
1248622 1
1248623 1
1248624 1
1248826 1
1248955 1
1249304 1
1249305 1
1249416 1
1249421 1
1249437 5
1249498 1
1249515 1
1249703 0
1246650 1
1247150 1
1247157 1
1247305 1
1247372 1
1247386 1
1247392 5
1247395 5
1247818 0
1247819 0
1248359 3
1248360 5
1248362 5
1248860 5
1249704 1
1249720 1
1249805 1
1249811 5
1249848 1
1249851 1
1249912 1
1246599 1
1246602 5
1246604 1
1246606 1
1246888 1
1246890 1
1246902 1
1247261 5
1247263 5
1247264 1
1248078 1
1248173 1
1248855 1
1249209 1
1249212 1
1249597 1
1249616 1
1249835 1
1249884 1
1249913 1
1249915 5
1249948 1
1249949 1
1249950 0
1249951 0
1249952 1
1250082 1
1250141 5
1246387 1
1246389 1
1246770 1
1248107 4
1247239 1
1247244 1
1247411 1
1247824 5
1249142 1
1249147 1
1249149 5
1249242 1
1249244 0
1249671 1
1249921 1
1249922 1
1250159 1
1250167 1
1250171 1
1250173 1
1250208 1
1250225 1
1250228 1
1250231 1
1246393 1
1247128 1
1247378 1
1247983 1
1247986 1
1247990 1
1248117 1
1248296 3
1248434 1
1248702 5
1248800 5
1248801 7
1248802 1
1248803 5
1249108 1
1249126 1
1249176 1
1249179 1
1249184 1
1249583 1
1249964 1
1250333 1
1250334 1
1250464 1
1246722 1
1247148 4
1247845 1
1247898 1
1248111 0
1248446 1
1248649 1
1248752 1
1248753 1
1248759 1
1248859 1
1249505 1
1249573 1
1249574 5
1249690 1
1249692 5
1249751 1
1249752 1
1249939 1
1250107 1
1246315 1
1246501 5
1246506 1
1246543 5
1246548 1
1246549 1
1246745 1
1246748 1
1246789 1
1246855 1
1246858 1
1246940 1
1246941 1
1246944 1
1246946 5
1247102 4
1247105 5
1247108 5
1247869 1
1246289 1
1246668 1
1246669 5
1247655 0
1247661 1
1247873 1
1248095 1
1248096 5
1248287 1
1248421 1
1248437 1
1248478 1
1248485 1
1248487 1
1248764 5
1248769 1
1248956 1
1249239 1
1249254 1
1249367 1
1249371 1
1249455 1
1249467 0
1249469 0
1246843 1
1246845 1
1247021 5
1248071 1
1248093 5
1248104 1
1249034 5
1249036 5
1249046 1
1249071 1
1249685 1
1249698 1
1249738 1
1249760 1
1249765 1
1249766 1
1249794 1
1249898 1
1249900 1
1249902 1
1249905 1
1246532 1
1246539 1
1246540 1
1246609 1
1246630 5
1246633 1
1246637 1
1246639 1
1247118 1
1247120 1
1247519 1
1247522 1
1247863 5
1247865 1
1247866 1
1247874 1
1247878 1
1247888 1
1248844 1
1248845 1
1249081 1
1249117 1
1246329 1
